taxon	stderr	estimate
Bifidobacterium sp002742445	0.107682051949402	0.0643352868021418
Bifidobacterium sp900551485	0.0831429425011879	0.102631180489518
Bifidobacterium thermophilum	0.143936835655019	0.299552169626927
Bilophila sp900550745	0.0718658938405363	0.0783814121383245
Bilophila sp900553145	0.0938724168301888	0.116114419135825
Bilophila sp902373525	0.258377071625786	-0.125587296754512
Bilophila wadsworthia	0.0745856669576969	0.0359549569667202
Bittarella massiliensis	0.144920051845401	-0.00294413039109276
Blautia coccoides	0.0767047718680668	0.0525801255946124
Blautia hansenii	0.0793326676618455	0.12189597673189
Blautia hominis	0.0410075793392979	0.028507403462327
Blautia sp000432195	0.112990471636242	0.130076295282732
Blautia sp001304935	0.0996513131053667	0.00185922247069562
Blautia sp002161285	0.071766781102171	0.0609037417303589
Blautia sp003287895	0.0878376968920327	0.0615464249860426
Blautia sp900539145	0.108040390713206	0.116311958636367
Blautia sp900541955	0.0641378334585199	0.0361421315287922
Blautia sp900543715	0.0570937611491129	0.0900861459689887
Blautia sp900547685	0.0548397377286775	0.0511465490038418
Blautia sp900555025	0.0848246347349095	0.0713736519243864
Blautia sp900556555	0.0407943399158572	0.0430112358201312
Blautia sp900753905	0.10824548725027	0.101127261252409
Blautia sp900765525	0.0886145355317978	0.0437435709853769
Blautia stercoris	0.156662903749145	-0.0790665395011528
Blautia_A caecimuris	0.142346843966302	0.162000230984728
Blautia_A faecis	0.110545796052391	-0.0344442915777333
Blautia_A hydrogenotrophica	0.0525371968656237	0.0351123204381325
Blautia_A luti	0.0999660562709441	0.0396769523613096
Blautia_A massiliensis	0.0809444115426256	0.0877471250894329
Blautia_A obeum	0.171666558592252	-0.140033585938407
Blautia_A obeum_B	0.0454671623629625	0.000160791753805212
Blautia_A schinkii	0.051038095128852	0.0667063426183723
Blautia_A sp000285855	0.0498567736831283	0.111089819936602
Blautia_A sp000436615	0.091490115456547	-0.119052644373775
Blautia_A sp003471165	0.373134694358199	-0.216148674848664
Blautia_A sp003474435	0.040441917944772	0.0255800026809201
Blautia_A sp900066145	0.144624742158237	-0.283840706385923
Blautia_A sp900066205	0.0534116892023627	-0.0802203213858937
Blautia_A sp900066335	0.066457845496816	0.106561588786899
Blautia_A sp900066505	0.0566504093663103	-0.0745375894564513
Blautia_A sp900120195	0.0751914944616175	0.0233544470291838
Blautia_A sp900540785	0.069106761476077	0.0595344769208029
Blautia_A sp900541345	0.143963764232242	-0.0193676309016075
Blautia_A sp900541985	0.033143739121817	0.0169751804649402
Blautia_A sp900542045	0.0628991948639848	0.0400410663240551
Blautia_A sp900547615	0.0452674858793168	0.0375040995410073
Blautia_A sp900548245	0.132097464909639	-0.153523865961888
Blautia_A sp900549015	0.0619523937721326	0.0804083635142869
Blautia_A sp900551075	0.061733199145348	0.0289062554539642
Blautia_A sp900551465	0.0877689570110459	0.0742819237749085
Blautia_A sp900551715	0.0434830721482707	0.0190251860985208
Blautia_A sp900553515	0.113165813075075	0.0586707289579019
Blautia_A sp900763175	0.126944395433007	-0.0994573053843246
Blautia_A wexlerae_A	0.17342747680775	0.0932788640422783
Blautia_A wexlerae_B	0.143614792601127	0.134037210764241
Borkfalkia ceftriaxoniphila	0.30764901839672	0.20973828715389
Brachyspira pilosicoli	0.152414580144163	0.0842930107729888
Bruticola sp004554425	0.208274021023068	-0.312896295420084
Bruticola sp900772775	0.137651331446881	-0.0729333254372102
Bulleidia massiliensis_B	0.188066766097759	0.091738219318818
Bulleidia moorei	0.0729232694708794	0.0311466205224524
Bulleidia sp900539965	0.148595455000867	0.00945826205348993
Bulleidia sp900554555	0.0395832043187959	-0.00747548971513687
Butyricicoccus pullicaecorum	0.122367705895431	0.0750176835755125
Butyricicoccus sp900547195	0.210789426661492	0.107628044051855
Butyricicoccus_A sp002395695	0.0986411439058292	-0.13109562231424
Butyricimonas faecalis	0.0682473767451906	0.068713852791006
Butyricimonas paravirosa	0.107560582413094	0.101265617657832
Butyricimonas sp003479425	0.230775036702461	-0.11716355101055
Butyricimonas sp900184685	0.0451604037054054	-0.0016849861657968
Butyricimonas sp900759925	0.0630166481449477	0.071215064544118
Butyricimonas sp900761485	0.306259061794528	-0.181121055114778
Butyricimonas synergistica	0.0786085365285014	0.0615806902709792
Butyricimonas virosa	0.0907412662666558	0.110761807181785
Butyrivibrio_A crossotus	0.227031170573405	-0.140101229965262
Butyrivibrio_A sp000431815	0.162493620082153	-0.199290355652759
Butyrivibrio_A sp900768755	0.0825777714514927	-0.0917556044036145
Butyrivibrio_A sp900771195	0.0956967786420164	0.109321403061647
CAAEEV01 sp900754955	0.177989382954063	0.0462262887741869
CAAFZY01 sp900767645	0.278962664005744	0.108309241075918
CACZQA01 sp900758075	0.343957156499311	0.156902652564845
CAG-1000 sp000434555	0.253211224391986	-0.204531625816635
CAG-1000 sp000436975	0.294681096764058	-0.429142256814793
CAG-1000 sp004552445	0.209636838793185	0.00166562456425177
CAG-1000 sp900556025	0.267531965483301	-0.33835061399297
CAG-1000 sp900761555	0.22610724018134	0.0840566852053942
CAG-1000 sp900768345	0.228475080704867	0.0894118955320449
